Date;Year;Quarter;Month;MonthName;Week;DayName;YearMonth
2023-03-29 0:00:00;2023;Q1;3;March;13;Wednesday;2023-03
2023-03-30 0:00:00;2023;Q1;3;March;13;Thursday;2023-03
2023-03-31 0:00:00;2023;Q1;3;March;13;Friday;2023-03
2023-04-01 0:00:00;2023;Q2;4;April;13;Saturday;2023-04
2023-04-02 0:00:00;2023;Q2;4;April;13;Sunday;2023-04
2023-04-03 0:00:00;2023;Q2;4;April;14;Monday;2023-04
2023-04-04 0:00:00;2023;Q2;4;April;14;Tuesday;2023-04
2023-04-05 0:00:00;2023;Q2;4;April;14;Wednesday;2023-04
2023-04-06 0:00:00;2023;Q2;4;April;14;Thursday;2023-04
2023-04-07 0:00:00;2023;Q2;4;April;14;Friday;2023-04
2023-04-08 0:00:00;2023;Q2;4;April;14;Saturday;2023-04
2023-04-09 0:00:00;2023;Q2;4;April;14;Sunday;2023-04
2023-04-10 0:00:00;2023;Q2;4;April;15;Monday;2023-04
2023-04-11 0:00:00;2023;Q2;4;April;15;Tuesday;2023-04
2023-04-12 0:00:00;2023;Q2;4;April;15;Wednesday;2023-04
2023-04-13 0:00:00;2023;Q2;4;April;15;Thursday;2023-04
2023-04-14 0:00:00;2023;Q2;4;April;15;Friday;2023-04
2023-04-15 0:00:00;2023;Q2;4;April;15;Saturday;2023-04
2023-04-16 0:00:00;2023;Q2;4;April;15;Sunday;2023-04
2023-04-17 0:00:00;2023;Q2;4;April;16;Monday;2023-04
2023-04-18 0:00:00;2023;Q2;4;April;16;Tuesday;2023-04
2023-04-19 0:00:00;2023;Q2;4;April;16;Wednesday;2023-04
2023-04-20 0:00:00;2023;Q2;4;April;16;Thursday;2023-04
2023-04-21 0:00:00;2023;Q2;4;April;16;Friday;2023-04
2023-04-22 0:00:00;2023;Q2;4;April;16;Saturday;2023-04
2023-04-23 0:00:00;2023;Q2;4;April;16;Sunday;2023-04
2023-04-24 0:00:00;2023;Q2;4;April;17;Monday;2023-04
2023-04-25 0:00:00;2023;Q2;4;April;17;Tuesday;2023-04
2023-04-26 0:00:00;2023;Q2;4;April;17;Wednesday;2023-04
2023-04-27 0:00:00;2023;Q2;4;April;17;Thursday;2023-04
2023-04-28 0:00:00;2023;Q2;4;April;17;Friday;2023-04
2023-04-29 0:00:00;2023;Q2;4;April;17;Saturday;2023-04
2023-04-30 0:00:00;2023;Q2;4;April;17;Sunday;2023-04
2023-05-01 0:00:00;2023;Q2;5;May;18;Monday;2023-05
2023-05-02 0:00:00;2023;Q2;5;May;18;Tuesday;2023-05
2023-05-03 0:00:00;2023;Q2;5;May;18;Wednesday;2023-05
2023-05-04 0:00:00;2023;Q2;5;May;18;Thursday;2023-05
2023-05-05 0:00:00;2023;Q2;5;May;18;Friday;2023-05
2023-05-06 0:00:00;2023;Q2;5;May;18;Saturday;2023-05
2023-05-07 0:00:00;2023;Q2;5;May;18;Sunday;2023-05
2023-05-08 0:00:00;2023;Q2;5;May;19;Monday;2023-05
2023-05-09 0:00:00;2023;Q2;5;May;19;Tuesday;2023-05
2023-05-10 0:00:00;2023;Q2;5;May;19;Wednesday;2023-05
2023-05-11 0:00:00;2023;Q2;5;May;19;Thursday;2023-05
2023-05-12 0:00:00;2023;Q2;5;May;19;Friday;2023-05
2023-05-13 0:00:00;2023;Q2;5;May;19;Saturday;2023-05
2023-05-14 0:00:00;2023;Q2;5;May;19;Sunday;2023-05
2023-05-15 0:00:00;2023;Q2;5;May;20;Monday;2023-05
2023-05-16 0:00:00;2023;Q2;5;May;20;Tuesday;2023-05
2023-05-17 0:00:00;2023;Q2;5;May;20;Wednesday;2023-05
2023-05-18 0:00:00;2023;Q2;5;May;20;Thursday;2023-05
2023-05-19 0:00:00;2023;Q2;5;May;20;Friday;2023-05
2023-05-20 0:00:00;2023;Q2;5;May;20;Saturday;2023-05
2023-05-21 0:00:00;2023;Q2;5;May;20;Sunday;2023-05
2023-05-22 0:00:00;2023;Q2;5;May;21;Monday;2023-05
2023-05-23 0:00:00;2023;Q2;5;May;21;Tuesday;2023-05
2023-05-24 0:00:00;2023;Q2;5;May;21;Wednesday;2023-05
2023-05-25 0:00:00;2023;Q2;5;May;21;Thursday;2023-05
2023-05-26 0:00:00;2023;Q2;5;May;21;Friday;2023-05
2023-05-27 0:00:00;2023;Q2;5;May;21;Saturday;2023-05
2023-05-28 0:00:00;2023;Q2;5;May;21;Sunday;2023-05
2023-05-29 0:00:00;2023;Q2;5;May;22;Monday;2023-05
2023-05-30 0:00:00;2023;Q2;5;May;22;Tuesday;2023-05
2023-05-31 0:00:00;2023;Q2;5;May;22;Wednesday;2023-05
2023-06-01 0:00:00;2023;Q2;6;June;22;Thursday;2023-06
2023-06-02 0:00:00;2023;Q2;6;June;22;Friday;2023-06
2023-06-03 0:00:00;2023;Q2;6;June;22;Saturday;2023-06
2023-06-04 0:00:00;2023;Q2;6;June;22;Sunday;2023-06
2023-06-05 0:00:00;2023;Q2;6;June;23;Monday;2023-06
2023-06-06 0:00:00;2023;Q2;6;June;23;Tuesday;2023-06
2023-06-07 0:00:00;2023;Q2;6;June;23;Wednesday;2023-06
2023-06-08 0:00:00;2023;Q2;6;June;23;Thursday;2023-06
2023-06-09 0:00:00;2023;Q2;6;June;23;Friday;2023-06
2023-06-10 0:00:00;2023;Q2;6;June;23;Saturday;2023-06
2023-06-11 0:00:00;2023;Q2;6;June;23;Sunday;2023-06
2023-06-12 0:00:00;2023;Q2;6;June;24;Monday;2023-06
2023-06-13 0:00:00;2023;Q2;6;June;24;Tuesday;2023-06
2023-06-14 0:00:00;2023;Q2;6;June;24;Wednesday;2023-06
2023-06-15 0:00:00;2023;Q2;6;June;24;Thursday;2023-06
2023-06-16 0:00:00;2023;Q2;6;June;24;Friday;2023-06
2023-06-17 0:00:00;2023;Q2;6;June;24;Saturday;2023-06
2023-06-18 0:00:00;2023;Q2;6;June;24;Sunday;2023-06
2023-06-19 0:00:00;2023;Q2;6;June;25;Monday;2023-06
2023-06-20 0:00:00;2023;Q2;6;June;25;Tuesday;2023-06
